Kundenverwaltung;Kundenverwaltung.png;Verwalten Sie Ihre Kunden und Lieferanten.
Produktverwaltung;Produktverwaltung.png;Verrwalten Sie Ihre Produkte und Leistungen.

Rechnungen und Lieferscheine;Rechnungen.png;Nur mit einem Klick generieren Sie aus Angeboten Rechnungen und Lieferscheine.
Angebote und Aufträge;Auftraege.png;Behalten Sie immer die Übersicht über Ihre Angebote, Aufträge und Rechnungen.

Mahnungen schreiben;Mahnungen.png;Schreiben Sie automatisch Zahlungserinnerungen. Sie können die Mahnstufen selber anpassen.
Belege und Eingangsrechnungen;Belege.png;Erfassen Sie Ihre Eingangsrechnungen und erhalten Sie damit immer schnellen Überblick über die Ausgaben Ihrer Firma.

Einkauf;Einkauf.png;Mit dem Einkaufsmodul können Sie schnell und einfach Ihre Bestellung bei Ihren Lieferanten aufgeben.
Dateien verwalten;Dateien.png;Verwalten Sie Ihre Dateien wie Bilder, Dokumente oder andere Daten.

Wiedervorlagen und Erinnerungen;Wiedervorlagen.png;Nutzen Sie unsere Wiedervorlagen und Erinnerungsfunktionen in den Kunden-, Produkt-, Auftrags- und Belegmodulen.
Notizen;Notizen.png;Erstellen Sie Notizen für sich oder für Ihre Mitarbeiter.

Mehrbenutzerfähig;Mehrbenutzer.png;Einzelplatz oder Mehrplatzsystem für Teamarbeit, mit Warehouse ist alles möglich. Die Rechte für Benutzer können Sie auch beliebig zuweisen.
Datenbankbasierte Verwaltung;;Alles wird in der Datenbank gespeichert, damit Ihre Daten sicher sind und Sie zu mehrern Personen gleichzeitig arbeiten können.

Statistiken;Statistik.png;Lassen Sie sich Gesamtstatistiken oder nach einem Kunden und/oder einem Produkt gefiltert anzeigen.
Einstellungen selbst vornehmen;Einstellungen.png;Erstellen Sie Benutzer mit Berechtigungen, ändern Sie Ihre Stammdaten.

